epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7737,1.491,3.23792,1.64465,0.61765,0.36976,0.37819,0.27704,1.58387,3.46983,1.70921,0.000331439,0.000331439,0.000331439
2,107.555,1.49904,2.46836,1.63933,0.36347,0.4635,0.38954,0.25222,1.70466,3.08487,1.82261,0.000658191,0.000658191,0.000658191
3,143.273,1.48829,2.33897,1.63283,0.42109,0.36108,0.35183,0.23556,1.63855,2.77178,1.80097,0.000978344,0.000978344,0.000978344
4,179.155,1.45244,2.17265,1.60359,0.52638,0.47554,0.47829,0.3497,1.63592,2.38584,1.74609,0.0009703,0.0009703,0.0009703
5,215.01,1.44495,2.05439,1.59854,0.47112,0.45104,0.44637,0.33571,1.6044,2.40831,1.74076,0.0009604,0.0009604,0.0009604
6,250.702,1.40401,1.9581,1.56074,0.51567,0.51677,0.51724,0.38615,1.5268,2.21134,1.66584,0.0009505,0.0009505,0.0009505
7,286.551,1.37487,1.88258,1.53608,0.51892,0.47524,0.46854,0.33175,1.59948,2.21528,1.73392,0.0009406,0.0009406,0.0009406
8,322.288,1.35327,1.81407,1.51715,0.59968,0.52204,0.54319,0.40998,1.44268,2.02325,1.57114,0.0009307,0.0009307,0.0009307
9,358.178,1.34453,1.79985,1.51521,0.65446,0.50085,0.54362,0.39717,1.48716,1.99337,1.59795,0.0009208,0.0009208,0.0009208
10,393.828,1.33725,1.77653,1.50107,0.56615,0.54564,0.55929,0.41914,1.42726,1.90343,1.57483,0.0009109,0.0009109,0.0009109
11,429.521,1.32292,1.72839,1.48379,0.61037,0.46386,0.52345,0.39539,1.51129,2.09631,1.66108,0.000901,0.000901,0.000901
12,465.469,1.29287,1.67052,1.46825,0.59139,0.58106,0.58843,0.4445,1.40304,1.82709,1.54266,0.0008911,0.0008911,0.0008911
13,501.102,1.29193,1.65033,1.45651,0.59333,0.58461,0.5792,0.43565,1.43394,1.83795,1.58558,0.0008812,0.0008812,0.0008812
14,536.801,1.25167,1.61181,1.43926,0.5757,0.59336,0.58716,0.44671,1.38991,1.76921,1.5266,0.0008713,0.0008713,0.0008713
