epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.677,1.55303,3.73591,1.86196,0.34135,0.408,0.34619,0.21044,1.71449,3.8992,2.0915,0.000331439,0.000331439,0.000331439
2,184.296,1.52412,2.91455,1.82121,0.32237,0.2837,0.24168,0.10682,1.83549,3.56346,2.15783,0.000658191,0.000658191,0.000658191
3,261.497,1.52177,2.63288,1.83414,0.37053,0.40355,0.35824,0.20412,1.88323,3.02744,2.18397,0.000978344,0.000978344,0.000978344
4,338.907,1.49099,2.3761,1.81616,0.43814,0.43296,0.40523,0.23992,1.79454,2.68303,2.0974,0.0009703,0.0009703,0.0009703
5,416.355,1.46675,2.22978,1.79786,0.45934,0.47604,0.45251,0.28224,1.69303,2.54394,2.03491,0.0009604,0.0009604,0.0009604
6,493.912,1.43047,2.13412,1.76892,0.57756,0.50086,0.47568,0.30271,1.6836,2.42708,2.00768,0.0009505,0.0009505,0.0009505
7,570.761,1.40781,2.04359,1.73847,0.54861,0.4648,0.47501,0.31592,1.64505,2.48561,2.04699,0.0009406,0.0009406,0.0009406
8,647.821,1.3849,1.9738,1.70295,0.55602,0.49188,0.50119,0.32319,1.60324,2.33112,1.96407,0.0009307,0.0009307,0.0009307
9,725.504,1.36085,1.93846,1.71028,0.55258,0.53647,0.54299,0.36159,1.53143,2.14431,1.88819,0.0009208,0.0009208,0.0009208
10,802.999,1.34444,1.86676,1.67114,0.60949,0.51026,0.51507,0.34075,1.62938,2.27121,2.02105,0.0009109,0.0009109,0.0009109
11,880.195,1.34136,1.83679,1.67849,0.50828,0.5877,0.56516,0.38031,1.5797,2.05359,1.91556,0.000901,0.000901,0.000901
12,956.926,1.30898,1.76697,1.63779,0.60842,0.55121,0.57811,0.38597,1.53025,1.98622,1.83542,0.0008911,0.0008911,0.0008911
13,1033.74,1.29378,1.7477,1.62216,0.57091,0.56524,0.57731,0.39524,1.48862,1.93149,1.83382,0.0008812,0.0008812,0.0008812
14,1110.45,1.28071,1.70935,1.61959,0.57262,0.57852,0.58957,0.40865,1.48332,1.95836,1.80545,0.0008713,0.0008713,0.0008713
15,1187.02,1.25044,1.66306,1.59463,0.58784,0.51422,0.55047,0.38399,1.55748,2.12941,1.93674,0.0008614,0.0008614,0.0008614
16,1263.98,1.25645,1.65414,1.59426,0.5983,0.57857,0.59497,0.41463,1.47686,1.91217,1.80626,0.0008515,0.0008515,0.0008515
17,1341.06,1.24758,1.62398,1.57488,0.59962,0.61183,0.61252,0.42059,1.4718,1.83334,1.80211,0.0008416,0.0008416,0.0008416
